channel,file,ETC,bandwidth,max_scale,fluctuation
1,F001.txt,96,27,33,6.621052631578947
2,F002.txt,47,30,161,46.369565217391305
3,F003.txt,97,32,50,7.885416666666667
4,F004.txt,89,31,43,8.215909090909092
5,F005.txt,96,33,43,8.778947368421052
6,F006.txt,101,29,43,6.86
7,F007.txt,99,28,35,7.122448979591836
8,F008.txt,77,40,128,17.460526315789473
9,F009.txt,51,29,192,39.32
10,F010.txt,69,33,82,19.220588235294116
11,F011.txt,85,38,85,12.178571428571429
12,F012.txt,91,33,46,8.244444444444444
13,F013.txt,94,28,40,6.526881720430108
14,F014.txt,97,28,45,7.072916666666667
15,F015.txt,99,30,37,9.244897959183673
16,F016.txt,98,26,54,7.319587628865979
17,F017.txt,103,30,44,6.6568627450980395
18,F018.txt,97,26,33,6.552083333333333
19,F019.txt,79,36,58,9.923076923076923
20,F020.txt,79,39,80,12.205128205128204
21,F021.txt,75,36,56,10.58108108108108
22,F022.txt,98,28,38,6.639175257731959
23,F023.txt,99,28,39,6.489795918367347
24,F024.txt,93,26,31,5.423913043478261
25,F025.txt,90,30,48,9.382022471910112
26,F026.txt,83,37,51,10.451219512195122
27,F027.txt,86,32,64,10.305882352941177
28,F028.txt,84,34,56,10.433734939759036
29,F029.txt,67,33,108,26.348484848484848
30,F030.txt,63,36,160,30.20967741935484
31,F031.txt,88,33,79,9.574712643678161
32,F032.txt,81,30,64,10.6875
33,F033.txt,87,33,68,10.593023255813954
34,F034.txt,94,31,48,7.881720430107527
35,F035.txt,106,27,47,5.619047619047619
36,F036.txt,82,35,64,10.901234567901234
37,F037.txt,104,24,48,6.058252427184466
38,F038.txt,87,28,48,6.511627906976744
39,F039.txt,78,37,64,8.805194805194805
40,F040.txt,95,29,64,7.287234042553192
41,F041.txt,68,40,90,22.29850746268657
42,F042.txt,91,31,40,8.488888888888889
43,F043.txt,111,25,32,5.118181818181818
44,F044.txt,95,35,40,8.77659574468085
45,F045.txt,82,31,54,8.703703703703704
46,F046.txt,112,24,29,4.918918918918919
47,F047.txt,109,27,35,6.138888888888889
48,F048.txt,104,30,38,6.961165048543689
49,F049.txt,71,35,64,14.057142857142857
50,F050.txt,83,39,72,13.365853658536585
51,F051.txt,104,32,51,7.038834951456311
52,F052.txt,77,37,64,14.381578947368421
53,F053.txt,83,31,39,9.939024390243903
54,F054.txt,103,27,35,6.754901960784314
55,F055.txt,88,34,64,9.310344827586206
56,F056.txt,93,31,42,7.9021739130434785
57,F057.txt,79,37,72,13.73076923076923
58,F058.txt,108,30,44,7.242990654205608
59,F059.txt,90,37,45,10.573033707865168
60,F060.txt,82,39,76,12.839506172839506
61,F061.txt,78,31,64,8.974025974025974
62,F062.txt,82,34,67,10.432098765432098
63,F063.txt,76,35,128,15.733333333333333
64,F064.txt,51,35,130,31.38
65,F065.txt,95,27,30,5.808510638297872
66,F066.txt,85,31,96,10.226190476190476
67,F067.txt,81,30,43,10.0375
68,F068.txt,102,28,44,6.138613861386139
69,F069.txt,91,35,42,8.966666666666667
70,F070.txt,77,37,99,19.55263157894737
71,F071.txt,106,31,33,7.2
72,F072.txt,73,41,64,14.51388888888889
73,F073.txt,89,34,64,12.647727272727273
74,F074.txt,95,29,49,6.787234042553192
75,F075.txt,108,26,27,5.140186915887851
76,F076.txt,71,33,96,18.742857142857144
77,F077.txt,101,27,38,6.71
78,F078.txt,98,26,32,6.237113402061856
79,F079.txt,83,39,64,10.097560975609756
80,F080.txt,102,27,64,6.297029702970297
81,F081.txt,104,27,43,6.621359223300971
82,F082.txt,91,34,61,9.766666666666667
83,F083.txt,96,28,36,6.463157894736842
84,F084.txt,90,31,40,7.651685393258427
85,F085.txt,109,30,43,8.074074074074074
86,F086.txt,79,33,67,11.76923076923077
87,F087.txt,89,34,64,10.397727272727273
88,F088.txt,101,25,31,5.74
89,F089.txt,87,26,45,8.151162790697674
90,F090.txt,81,35,77,9.6375
91,F091.txt,92,30,46,6.868131868131868
92,F092.txt,75,36,128,15.27027027027027
93,F093.txt,95,26,32,6.095744680851064
94,F094.txt,85,27,32,6.809523809523809
95,F095.txt,89,34,72,11.943181818181818
96,F096.txt,88,32,48,7.563218390804598
97,F097.txt,101,30,36,7.44
98,F098.txt,76,38,66,12.986666666666666
99,F099.txt,97,31,37,7.40625
100,F100.txt,92,29,80,9.340659340659341
